+------------+------------------------------------+-----------------+------------------+------------------+-------------+------------+
| customerID | customerName                       | contactLastName | contactFirstName | city             | country     | createDate |
+------------+------------------------------------+-----------------+------------------+------------------+-------------+------------+
|        103 | Atelier graphique                  | Schmitt         | Carine           | Nantes           | France      | 2004-02-05 |
|        112 | Signal Gift Stores                 | King            | Jean             | Las Vegas        | USA         | 2004-02-05 |
"|        114 | Australian Collectors, Co.         | Ferguson        | Peter            | Melbourne        | Australia   | 2004-02-20 |"
|        119 | La Rochelle Gifts                  | Labrune         | Janine           | Nantes           | France      | 2004-02-05 |
|        121 | Baane Mini Imports                 | Bergulfsen      | Jonas            | Stavern          | Norway      | 2004-02-05 |
|        124 | Mini Gifts Distributors Ltd.       | Nelson          | Susan            | San Rafael       | USA         | 2004-03-11 |
|        125 | Havel & Zbyszek Co                 | Piestrzeniewicz | Zbyszek          | Warszawa         | Poland      | 2004-02-05 |
"|        128 | Blauer See Auto, Co.               | Keitel          | Roland           | Frankfurt        | Germany     | 2004-03-15 |"
|        129 | Mini Wheels Co.                    | Murphy          | Julie            | San Francisco    | USA         | 2004-02-05 |
|        131 | Land of Toys Inc.                  | Lee             | Kwai             | NYC              | USA         | 2004-05-07 |
|        141 | Euro+ Shopping Channel             | Freyre          | Diego            | Madrid           | Spain       | 2004-01-16 |
"|        144 | Volvo Model Replicas, Co           | Berglund        | Christina        | Lulea            | Sweden      | 2004-02-05 |"
|        145 | Danish Wholesale Imports           | Petersen        | Jytte            | Kobenhavn        | Denmark     | 2004-04-09 |
"|        146 | Saveley & Henriot, Co.             | Saveley         | Mary             | Lyon             | France      | 2004-01-02 |"
"|        148 | Dragon Souveniers, Ltd.            | Natividad       | Eric             | Singapore        | Singapore   | 2004-02-05 |"
|        151 | Muscle Machine Inc                 | Young           | Jeff             | NYC              | USA         | 2004-02-05 |
|        157 | Diecast Classics Inc.              | Leong           | Kelvin           | Allentown        | USA         | 2004-02-05 |
|        161 | Technics Stores Inc.               | Hashimoto       | Juri             | Burlingame       | USA         | 2004-02-05 |
|        166 | Handji Gifts& Co                   | Victorino       | Wendy            | Singapore        | Singapore   | 2004-02-04 |
|        167 | Herkku Gifts                       | Oeztan          | Veysel           | Bergen           | Norway      | 2004-02-05 |
|        168 | American Souvenirs Inc             | Franco          | Keith            | New Haven        | USA         | 2004-02-05 |
|        169 | Porto Imports Co.                  | de Castro       | Isabel           | Lisboa           | Portugal    | 2004-02-05 |
|        171 | Daedalus Designs Imports           | Ranca           | Martine          | Lille            | France      | 2004-02-21 |
"|        172 | La Corne Dabondance, Co.           | Bertrand        | Marie            | Paris            | France      | 2004-02-05 |"
|        173 | Cambridge Collectables Co.         | Tseng           | Jerry            | Cambridge        | USA         | 2004-03-10 |
|        175 | Gift Depot Inc.                    | King            | Julie            | Bridgewater      | USA         | 2004-06-28 |
|        177 | Osaka Souveniers Co.               | Kentary         | Mory             | Kita-ku          | Japan       | 2004-01-12 |
|        181 | Vitachrome Inc.                    | Frick           | Michael          | NYC              | USA         | 2004-04-05 |
