+-------------+------------+--------------+-------------+---------+------------+-------------+----------+-----------+
| orderNumber | orderDate  | requiredDate | shippedDate | status  | customerID | productCode | quantity | priceeach |
+-------------+------------+--------------+-------------+---------+------------+-------------+----------+-----------+
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S72_1253    |       40 |     45690 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S700_2047   |       29 |     83280 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S24_3816    |       31 |     78830 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S24_3420    |       25 |     65090 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S24_2841    |       44 |     67140 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S18_3856    |       39 |     85750 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S18_3029    |       48 |     84300 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S18_1662    |       50 |    146650 |
|       10234 | 2004-03-30 | 2004-04-05   | 2004-04-02  | Shipped |        412 | S10_4757    |       48 |    118320 |
|       10233 | 2004-03-29 | 2004-04-04   | 2004-04-02  | Shipped |        328 | S700_2610   |       29 |     67940 |
|       10233 | 2004-03-29 | 2004-04-04   | 2004-04-02  | Shipped |        328 | S700_1138   |       36 |     66000 |
|       10233 | 2004-03-29 | 2004-04-04   | 2004-04-02  | Shipped |        328 | S24_3151    |       40 |     70810 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S72_3212    |       24 |     48590 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S700_3962   |       35 |     81430 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S700_3505   |       48 |     86150 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S700_1938   |       26 |     84880 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S24_2011    |       46 |    113060 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S18_4522    |       23 |     78120 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S18_3259    |       48 |     97810 |
|       10232 | 2004-03-20 | 2004-03-30   | 2004-03-25  | Shipped |        240 | S18_3140    |       22 |    133860 |
|       10231 | 2004-03-19 | 2004-03-26   | 2004-03-25  | Shipped |        344 | S12_3891    |       49 |    147070 |
|       10231 | 2004-03-19 | 2004-03-26   | 2004-03-25  | Shipped |        344 | S12_1108    |       42 |    193250 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S50_1514    |       43 |     57410 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S50_1392    |       34 |    100700 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S32_3207    |       46 |     59030 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S24_4048    |       45 |     99360 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S24_1444    |       36 |     47400 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S18_4027    |       42 |    142180 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S18_2238    |       49 |    153910 |
|       10230 | 2004-03-15 | 2004-03-24   | 2004-03-20  | Shipped |        128 | S12_3148    |       43 |    128420 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S700_2824   |       50 |     91040 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S32_3522    |       30 |     52360 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S32_2509    |       23 |     49780 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S32_1268    |       25 |     78970 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S24_2840    |       33 |     34650 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S24_2300    |       48 |    115010 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S18_4668    |       39 |     43770 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S18_4600    |       41 |    119870 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S18_3232    |       22 |    157490 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S18_2432    |       28 |     53480 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S18_2319    |       26 |    104320 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S12_4473    |       36 |     95990 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S12_1666    |       25 |    110700 |
|       10229 | 2004-03-11 | 2004-03-20   | 2004-03-12  | Shipped |        124 | S10_4962    |       50 |    138880 |
|       10228 | 2004-03-10 | 2004-03-18   | 2004-03-13  | Shipped |        173 | S24_4258    |       33 |     84730 |
|       10228 | 2004-03-10 | 2004-03-18   | 2004-03-13  | Shipped |        173 | S18_3136    |       31 |    100530 |
|       10228 | 2004-03-10 | 2004-03-18   | 2004-03-13  | Shipped |        173 | S18_2957    |       45 |     57460 |
|       10228 | 2004-03-10 | 2004-03-18   | 2004-03-13  | Shipped |        173 | S18_2949    |       24 |    101310 |
|       10228 | 2004-03-10 | 2004-03-18   | 2004-03-13  | Shipped |        173 | S18_1097    |       32 |    100340 |
|       10228 | 2004-03-10 | 2004-03-18   | 2004-03-13  | Shipped |        173 | S10_1949    |       29 |    214300 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S24_3969    |       27 |     34880 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S24_3191    |       40 |     78760 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S24_2887    |       33 |    102170 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S24_2766    |       47 |     84510 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S24_2022    |       24 |     39420 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S24_1937    |       42 |     27220 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_4933    |       37 |     70560 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_4409    |       34 |     87430 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_3320    |       33 |     99210 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_2795    |       29 |    146810 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_2325    |       46 |    118230 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_2248    |       28 |     59930 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_1749    |       26 |    136000 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_1367    |       31 |     50140 |
|       10227 | 2004-03-02 | 2004-03-12   | 2004-03-08  | Shipped |        146 | S18_1342    |       25 |     85270 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S24_3432    |       48 |     95300 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S24_1628    |       36 |     47790 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S24_1046    |       21 |     65410 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S18_3685    |       46 |    122910 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S18_2870    |       24 |    125400 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S18_1984    |       24 |    129450 |
|       10226 | 2004-02-26 | 2004-03-06   | 2004-03-02  | Shipped |        239 | S18_1589    |       38 |    108260 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S24_4620    |       46 |     77610 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S24_3856    |       40 |    130600 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S24_3371    |       24 |     51430 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S24_2972    |       42 |     34740 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S18_4721    |       35 |    135410 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S18_3482    |       27 |    119060 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S18_3278    |       37 |     69960 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S18_3232    |       43 |    162570 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S18_1889    |       47 |     71610 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S18_1129    |       32 |    116060 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S12_4675    |       21 |    100190 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S12_3990    |       37 |     64640 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S12_3380    |       25 |    101000 |
|       10225 | 2004-02-22 | 2004-03-01   | 2004-02-24  | Shipped |        298 | S12_1099    |       27 |    157600 |
|       10224 | 2004-02-21 | 2004-03-02   | 2004-02-26  | Shipped |        171 | S50_4713    |       50 |     81360 |
|       10224 | 2004-02-21 | 2004-03-02   | 2004-02-26  | Shipped |        171 | S32_4485    |       30 |     94910 |
|       10224 | 2004-02-21 | 2004-03-02   | 2004-02-26  | Shipped |        171 | S32_2206    |       43 |     37010 |
|       10224 | 2004-02-21 | 2004-03-02   | 2004-02-26  | Shipped |        171 | S24_2360    |       37 |     60260 |
|       10224 | 2004-02-21 | 2004-03-02   | 2004-02-26  | Shipped |        171 | S18_3782    |       38 |     57200 |
|       10224 | 2004-02-21 | 2004-03-02   | 2004-02-26  | Shipped |        171 | S12_2823    |       43 |    141580 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S700_3167   |       26 |     79200 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S700_2834   |       29 |    113900 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S700_1691   |       25 |     84030 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S50_1341    |       41 |     41020 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S32_4289    |       20 |     66730 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S32_1374    |       21 |     90900 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S24_4278    |       23 |     68100 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S24_2000    |       38 |     60940 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S24_1785    |       34 |     87540 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S24_1578    |       32 |    104810 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S18_2625    |       28 |     58750 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S18_2581    |       47 |     67580 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S10_4698    |       49 |    189790 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S10_2016    |       47 |    110610 |
|       10223 | 2004-02-20 | 2004-02-29   | 2004-02-24  | Shipped |        114 | S10_1678    |       37 |     80390 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S72_3212    |       36 |     48590 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S72_1253    |       31 |     45190 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_4002   |       43 |     66630 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_3962   |       31 |     81430 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_3505   |       38 |     84140 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_2610   |       36 |     69390 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_2466   |       37 |     90750 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_2047   |       26 |     80560 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S700_1138   |       31 |     58670 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S24_3949    |       48 |     55270 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S24_3816    |       46 |     77990 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S24_3420    |       43 |     61150 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S24_3151    |       47 |     74350 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S24_2841    |       32 |     56860 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S18_3856    |       45 |     88930 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S18_3029    |       49 |     79140 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S18_1662    |       49 |    137190 |
|       10222 | 2004-02-19 | 2004-02-27   | 2004-02-20  | Shipped |        239 | S10_4757    |       49 |    133280 |
|       10221 | 2004-02-18 | 2004-02-26   | 2004-02-19  | Shipped |        314 | S700_1938   |       23 |     69290 |
|       10221 | 2004-02-18 | 2004-02-26   | 2004-02-19  | Shipped |        314 | S24_2011    |       49 |    113060 |
|       10221 | 2004-02-18 | 2004-02-26   | 2004-02-19  | Shipped |        314 | S18_4522    |       39 |     84260 |
|       10221 | 2004-02-18 | 2004-02-26   | 2004-02-19  | Shipped |        314 | S18_3259    |       23 |     89750 |
|       10221 | 2004-02-18 | 2004-02-26   | 2004-02-19  | Shipped |        314 | S18_3140    |       33 |    133860 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S50_1514    |       30 |     56820 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S50_1392    |       37 |     92600 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S32_3207    |       20 |     49710 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S24_4048    |       37 |    101720 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S24_1444    |       26 |     48550 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S18_4027    |       50 |    126390 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S12_3891    |       27 |    166100 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S12_3148    |       30 |    151080 |
|       10220 | 2004-02-12 | 2004-02-19   | 2004-02-16  | Shipped |        189 | S12_1108    |       32 |    189100 |
|       10219 | 2004-02-10 | 2004-02-17   | 2004-02-12  | Shipped |        487 | S32_2509    |       35 |     47620 |
