+-------------+------------+--------------+-------------+-----------+------------+-------------+----------+-----------+
| orderNumber | orderDate  | requiredDate | shippedDate | status    | customerID | productCode | quantity | priceeach |
+-------------+------------+--------------+-------------+-----------+------------+-------------+----------+-----------+
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S18_2581    |       24 |     81950 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S24_1785    |       23 |     89720 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S24_3949    |       33 |     55270 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S24_4278    |       40 |     63030 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S32_1374    |       41 |     90900 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S32_4289    |       34 |     66730 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S50_1341    |       41 |     37090 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S700_1691   |       25 |     88600 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S700_2466   |       38 |     92740 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S700_2834   |       25 |    116280 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S700_3167   |       32 |     73600 |
|       10235 | 2004-04-02 | 2004-04-12   | 2004-04-06  | Shipped   |        260 | S700_4002   |       34 |     70330 |
|       10236 | 2004-04-03 | 2004-04-11   | 2004-04-08  | Shipped   |        486 | S10_2016    |       22 |    105860 |
|       10236 | 2004-04-03 | 2004-04-11   | 2004-04-08  | Shipped   |        486 | S18_2625    |       23 |     52700 |
|       10236 | 2004-04-03 | 2004-04-11   | 2004-04-08  | Shipped   |        486 | S24_2000    |       36 |     65510 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S10_1678    |       23 |     91870 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S10_4698    |       39 |    158800 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S12_2823    |       32 |    129530 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S18_3782    |       26 |     49740 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S24_1578    |       20 |    109320 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S24_2360    |       26 |     62330 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S32_2206    |       26 |     35000 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S32_4485    |       27 |     94910 |
|       10237 | 2004-04-05 | 2004-04-12   | 2004-04-10  | Shipped   |        181 | S50_4713    |       20 |     78920 |
